1770,4212
5759,4158
5387,4115
6282,4113
4876,4088
1618.7271,3835.9225
1308.0045,4070.0045
3656.31,3563.0221
4476.769,4048.8961
1750,3955
3580,3973
280,3938
2444,3679
5572,3679
2877,3564
1900,3500
566,3488
900.99769,2452.9929
1320.0016,2939.9948
1572.9947,3437.9977
4526,3333
2600,3326
3890,3205
2968,3178
5943,3187
6512,3118
5286,2945
771,2911
4664.5033,2515.5564
4324.7475,2823.7448
3283,2492
3631.9936,1671.9969
3237.9946,2488.9988
5335,2240
3800.392,1220.4002
3916.9936,2158.9988
1720,1830
5903,1680
2031.5054,1009.1258
1580.1285,1439.1307
2146.9937,1655.1219
5914,1573
5770,1500
5445,1481
6246,1374
6105,1073
4310,1019
6457,1023
